split_id,query_id,query_type,query,method,selected_method,top_memory_id,top_memory_type,top_score,mrr,recall@1,recall@3,recall@5,first_rank,first_relevant_memory_id
record_01,q00001,2,When did Caroline go to the LGBTQ support group?,candidate_reranker,candidate_reranker,llm_00001,event,0.9616079603241288,1.0,1.0,1.0,1.0,1,llm_00001
record_01,q00003,3,What fields would Caroline be likely to pursue in her educaton?,candidate_reranker,candidate_reranker,llm_00005,plan,0.6704229558863146,1.0,1.0,1.0,1.0,1,llm_00005
record_01,q00004,1,What did Caroline research?,candidate_reranker,candidate_reranker,llm_00034,goal,0.45045441481135934,0.1111111111111111,0.0,0.0,0.0,9,llm_00014
record_01,q00005,1,What is Caroline's identity?,candidate_reranker,candidate_reranker,llm_00101,work,0.4879014708031716,0.2,0.0,0.0,1.0,5,llm_00002
record_01,q00006,2,When did Melanie run a charity race?,candidate_reranker,candidate_reranker,llm_00011,event,0.9975645402593334,1.0,1.0,1.0,1.0,1,llm_00011
record_01,q00007,2,When is Melanie planning on going camping?,candidate_reranker,candidate_reranker,llm_00094,family,0.7799498152790817,0.25,0.0,0.0,1.0,4,llm_00013
record_01,q00008,1,What is Caroline's relationship status?,candidate_reranker,candidate_reranker,llm_00002,identity,0.7835240082052093,0.0,0.0,0.0,0.0,0,
record_01,q00009,2,When did Caroline give a speech at a school?,candidate_reranker,candidate_reranker,llm_00020,event,0.7527869516885465,1.0,1.0,1.0,1.0,1,llm_00020
record_01,q00010,2,"When did Caroline meet up with her friends, family, and mentors?",candidate_reranker,candidate_reranker,llm_00021,relationship,0.9367335313684145,1.0,1.0,1.0,1.0,1,llm_00021
record_01,q00011,2,How long has Caroline had her current group of friends for?,candidate_reranker,candidate_reranker,llm_00022,relationship,0.8357985735679141,1.0,1.0,1.0,1.0,1,llm_00022
record_01,q00012,1,Where did Caroline move from 4 years ago?,candidate_reranker,candidate_reranker,llm_00022,relationship,0.8668239578004254,1.0,1.0,1.0,1.0,1,llm_00022
record_01,q00013,2,How long ago was Caroline's 18th birthday?,candidate_reranker,candidate_reranker,llm_00031,event,0.6286762918487477,1.0,1.0,1.0,1.0,1,llm_00031
record_01,q00014,1,What career path has Caroline decided to persue?,candidate_reranker,candidate_reranker,llm_00040,goal,0.8302644023110359,0.5,0.0,1.0,1.0,2,llm_00034
record_01,q00015,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,candidate_reranker,candidate_reranker,llm_00037,emotion,0.8824813225327547,1.0,1.0,1.0,1.0,1,llm_00037
record_01,q00016,1,What activities does Melanie partake in?,candidate_reranker,candidate_reranker,llm_00151,family,0.5497180129424497,0.05263157894736842,0.0,0.0,0.0,19,llm_00042
record_01,q00017,2,When did Melanie sign up for a pottery class?,candidate_reranker,candidate_reranker,llm_00042,event,0.9972055740561955,1.0,1.0,1.0,1.0,1,llm_00042
