split_seed,query_id,query_type,method,rank,memory_id,memory_type,score,is_relevant,memory_text
13,q00051,3,type3_specific_reranker,1,llm_00052,identity,0.25289293070136626,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,2,llm_00083,identity,0.24030768215270548,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,3,llm_00002,identity,0.2180319314076395,False,Caroline is transgender.
13,q00051,3,type3_specific_reranker,4,llm_00131,identity,0.1988689521204769,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,5,llm_00155,identity,0.18342572766732632,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,6,llm_00132,relationship,0.15095125629490902,False,Caroline found a supportive community in the transgender community.
13,q00051,3,type3_specific_reranker,7,llm_00034,goal,0.15066141553173876,False,Caroline is exploring a career in counseling and mental health.
13,q00051,3,type3_specific_reranker,8,llm_00045,goal,0.1241941379279796,False,Caroline is exploring counseling or mental health work as a career.
13,q00051,3,type3_specific_reranker,9,llm_00102,identity,0.12005507146750864,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,10,llm_00171,identity,0.1021617874610046,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,11,llm_00001,event,0.09022314204697032,False,Caroline attended an LGBTQ support group yesterday and found it powerful.
13,q00051,3,type3_specific_reranker,12,llm_00185,identity,0.08677692568462779,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,13,llm_00058,goal,0.08349122331246575,False,Caroline is exploring counseling and mental health career options.
13,q00051,3,type3_specific_reranker,14,llm_00040,goal,0.08203252702785947,False,Caroline is considering counseling and mental health as a career path to help others.
13,q00051,3,type3_specific_reranker,15,llm_00089,identity,0.07567344062017885,False,Caroline is passionate about LGBTQ rights and community support.
13,q00051,3,type3_specific_reranker,16,llm_00015,preference,0.06144018613452782,False,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.
13,q00051,3,type3_specific_reranker,17,llm_00029,identity,0.06082651691543657,False,Caroline is from Sweden.
13,q00051,3,type3_specific_reranker,18,llm_00037,emotion,0.05725144468406552,False,Caroline's own journey and support she received motivated her to pursue counseling.
13,q00051,3,type3_specific_reranker,19,llm_00054,relationship,0.05109505026716001,False,"Caroline's friends and family have been supportive of her transition, providing love, guidance, and acceptance."
13,q00051,3,type3_specific_reranker,20,llm_00120,hobby,0.04570415933839887,False,Caroline has always loved horses.
13,q00051,3,supervised_set_selector,1,llm_00131,identity,0.2884101265941623,False,Caroline is a transgender woman.
13,q00051,3,supervised_set_selector,2,llm_00132,relationship,0.16256284114914266,False,Caroline found a supportive community in the transgender community.
13,q00051,3,supervised_set_selector,3,llm_00155,identity,0.15716195695809235,False,Caroline is a transgender woman.
13,q00051,3,supervised_set_selector,4,llm_00102,identity,0.12073564909453978,False,Caroline is a transgender woman.
13,q00051,3,supervised_set_selector,5,llm_00052,identity,0.1033346172252472,False,Caroline is a transgender woman.
13,q00051,3,supervised_set_selector,6,llm_00002,identity,0.08054173464770023,False,Caroline is transgender.
13,q00051,3,supervised_set_selector,7,llm_00083,identity,0.06932681346435868,False,Caroline is a transgender woman.
13,q00051,3,supervised_set_selector,8,llm_00171,identity,0.05952987894069289,False,Caroline is a transgender woman.
13,q00051,3,supervised_set_selector,9,llm_00034,goal,0.05615450078956058,False,Caroline is exploring a career in counseling and mental health.
