split_id,query_id,query_type,query,method,selected_method,top_memory_id,top_memory_type,top_score,mrr,recall@1,recall@3,recall@5,first_rank,first_relevant_memory_id
record_01,q00001,2,When did Caroline go to the LGBTQ support group?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00001,event,0.981491486837483,1.0,1.0,1.0,1.0,1,llm_00001
record_01,q00003,3,What fields would Caroline be likely to pursue in her educaton?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00005,plan,0.47305686402255986,1.0,1.0,1.0,1.0,1,llm_00005
record_01,q00004,1,What did Caroline research?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00045,goal,0.6317533338440806,0.25,0.0,0.0,1.0,4,llm_00014
record_01,q00005,1,What is Caroline's identity?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00002,identity,0.77883642747948,1.0,1.0,1.0,1.0,1,llm_00002
record_01,q00006,2,When did Melanie run a charity race?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00011,event,0.9791322219435895,1.0,1.0,1.0,1.0,1,llm_00011
record_01,q00007,2,When is Melanie planning on going camping?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00078,event,0.9280716556397698,0.5,0.0,1.0,1.0,2,llm_00013
record_01,q00008,1,What is Caroline's relationship status?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00084,event,0.7805688922519775,0.0,0.0,0.0,0.0,0,
record_01,q00009,2,When did Caroline give a speech at a school?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00020,event,0.6336983631585739,1.0,1.0,1.0,1.0,1,llm_00020
record_01,q00010,2,"When did Caroline meet up with her friends, family, and mentors?",intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00081,plan,0.7302934502331037,0.5,0.0,1.0,1.0,2,llm_00021
record_01,q00011,2,How long has Caroline had her current group of friends for?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00022,relationship,0.8307082372115429,1.0,1.0,1.0,1.0,1,llm_00022
record_01,q00012,1,Where did Caroline move from 4 years ago?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00022,relationship,0.7625304264727577,1.0,1.0,1.0,1.0,1,llm_00022
record_01,q00013,2,How long ago was Caroline's 18th birthday?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00031,event,0.8431435397510554,1.0,1.0,1.0,1.0,1,llm_00031
record_01,q00014,1,What career path has Caroline decided to persue?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00040,goal,0.8976042539010869,0.3333333333333333,0.0,1.0,1.0,3,llm_00034
record_01,q00015,3,Would Caroline still want to pursue counseling as a career if she hadn't received support growing up?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00037,emotion,0.8792650955042268,1.0,1.0,1.0,1.0,1,llm_00037
record_01,q00016,1,What activities does Melanie partake in?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00007,work,0.7047438473653697,0.08333333333333333,0.0,0.0,0.0,12,llm_00042
record_01,q00017,2,When did Melanie sign up for a pottery class?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00042,event,0.9852439622770907,1.0,1.0,1.0,1.0,1,llm_00042
record_01,q00018,2,When is Caroline going to the transgender conference?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00044,plan,0.977010712099828,1.0,1.0,1.0,1.0,1,llm_00044
record_01,q00019,1,Where has Melanie camped?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00151,family,0.728323361808927,0.5,0.0,1.0,1.0,2,llm_00078
record_01,q00020,1,What do Melanie's kids like?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00151,family,0.8632985275479019,0.25,0.0,0.0,1.0,4,llm_00033
record_01,q00021,2,When did Melanie go to the museum?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00047,event,0.920949682749994,1.0,1.0,1.0,1.0,1,llm_00047
record_01,q00022,2,When did Caroline have a picnic?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00053,event,0.983309821865328,1.0,1.0,1.0,1.0,1,llm_00053
record_01,q00023,3,Would Caroline likely have Dr. Seuss books on her bookshelf?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00060,hobby,0.707939708909713,0.5,0.0,1.0,1.0,2,llm_00049
record_01,q00024,1,What books has Melanie read?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00151,family,0.7276582431698435,0.16666666666666666,0.0,0.0,0.0,6,llm_00051
record_01,q00025,1,What does Melanie do to destress?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00159,event,0.8442034607066019,0.2,0.0,0.0,1.0,5,llm_00042
record_01,q00026,2,When did Caroline go to the LGBTQ conference?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00056,event,0.9807434604238243,1.0,1.0,1.0,1.0,1,llm_00056
record_01,q00028,3,Would Caroline pursue writing as a career option?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00045,goal,0.6672746465767067,0.5,0.0,1.0,1.0,2,llm_00058
record_01,q00029,2,When did Caroline go to the adoption meeting?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00116,event,0.976085092141148,0.5,0.0,1.0,1.0,2,llm_00070
record_01,q00030,2,When did Melanie go to the pottery workshop?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00067,event,0.958370908646726,1.0,1.0,1.0,1.0,1,llm_00067
record_01,q00032,2,When did Melanie go camping in June?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00080,event,0.9815908169464949,0.047619047619047616,0.0,0.0,0.0,21,llm_00033
record_01,q00033,1,What LGBTQ+ events has Caroline participated in?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00084,event,0.907444330799757,0.16666666666666666,0.0,0.0,0.0,6,llm_00039
record_01,q00034,2,When did Caroline go to a pride parade during the summer?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00091,event,0.9508653948950606,0.25,0.0,0.0,1.0,4,llm_00039
record_01,q00035,1,What events has Caroline participated in to help children?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00116,event,0.778511355751206,0.030303030303030304,0.0,0.0,0.0,33,llm_00081
record_01,q00036,2,When did Melanie go camping in July?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00080,event,0.968057438035083,1.0,1.0,1.0,1.0,1,llm_00080
record_01,q00037,2,When did Caroline join a mentorship program?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00081,plan,0.957658927966487,1.0,1.0,1.0,1.0,1,llm_00081
record_01,q00039,1,What activities has Melanie done with her family?,intrinsic_reranker_loco,intrinsic_reranker_loco,llm_00080,event,0.9743898937637041,1.0,1.0,1.0,1.0,1,llm_00080
