split_seed,query_id,query_type,method,rank,memory_id,memory_type,learned_score,is_relevant,memory_text
13,q00051,3,global_candidate_reranker,1,llm_00002,identity,0.23056832573156558,False,Caroline is transgender.
13,q00051,3,global_candidate_reranker,2,llm_00131,identity,0.20487739040999664,False,Caroline is a transgender woman.
13,q00051,3,global_candidate_reranker,3,llm_00052,identity,0.1595682337964214,False,Caroline is a transgender woman.
13,q00051,3,global_candidate_reranker,4,llm_00102,identity,0.14952334827702343,False,Caroline is a transgender woman.
13,q00051,3,global_candidate_reranker,5,llm_00155,identity,0.14637093427247877,False,Caroline is a transgender woman.
13,q00051,3,global_candidate_reranker,6,llm_00083,identity,0.14178852044214846,False,Caroline is a transgender woman.
13,q00051,3,global_candidate_reranker,7,llm_00034,goal,0.11833372119459125,False,Caroline is exploring a career in counseling and mental health.
13,q00051,3,global_candidate_reranker,8,llm_00171,identity,0.10744651348233554,False,Caroline is a transgender woman.
13,q00051,3,global_candidate_reranker,9,llm_00045,goal,0.10499931248596622,False,Caroline is exploring counseling or mental health work as a career.
13,q00051,3,global_candidate_reranker,10,llm_00185,identity,0.09804614438463763,False,Caroline is a transgender woman.
13,q00051,3,global_candidate_reranker,11,llm_00001,event,0.0822060249751003,False,Caroline attended an LGBTQ support group yesterday and found it powerful.
13,q00051,3,global_candidate_reranker,12,llm_00058,goal,0.06268001600973797,False,Caroline is exploring counseling and mental health career options.
13,q00051,3,global_candidate_reranker,13,llm_00089,identity,0.05293500161932878,False,Caroline is passionate about LGBTQ rights and community support.
13,q00051,3,global_candidate_reranker,14,llm_00132,relationship,0.05197053767552775,False,Caroline found a supportive community in the transgender community.
13,q00051,3,global_candidate_reranker,15,llm_00152,work,0.04874971427141768,False,Caroline volunteers for the LGBTQ+ community.
13,q00051,3,global_candidate_reranker,16,llm_00125,identity,0.04357533708770813,False,Caroline is an advocate for LGBTQ rights and wants to live authentically.
13,q00051,3,global_candidate_reranker,17,llm_00040,goal,0.03628922174863894,False,Caroline is considering counseling and mental health as a career path to help others.
13,q00051,3,global_candidate_reranker,18,llm_00108,identity,0.03581525885600287,True,Caroline is part of the LGBTQ community and values supportive people around her.
13,q00051,3,global_candidate_reranker,19,llm_00120,hobby,0.03126439068824352,False,Caroline has always loved horses.
13,q00051,3,global_candidate_reranker,20,llm_00037,emotion,0.029968929438170654,False,Caroline's own journey and support she received motivated her to pursue counseling.
13,q00051,3,type3_specific_reranker,1,llm_00052,identity,0.25289293070136626,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,2,llm_00083,identity,0.24030768215270548,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,3,llm_00002,identity,0.2180319314076395,False,Caroline is transgender.
13,q00051,3,type3_specific_reranker,4,llm_00131,identity,0.1988689521204769,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,5,llm_00155,identity,0.18342572766732632,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,6,llm_00132,relationship,0.15095125629490902,False,Caroline found a supportive community in the transgender community.
13,q00051,3,type3_specific_reranker,7,llm_00034,goal,0.15066141553173876,False,Caroline is exploring a career in counseling and mental health.
13,q00051,3,type3_specific_reranker,8,llm_00045,goal,0.1241941379279796,False,Caroline is exploring counseling or mental health work as a career.
13,q00051,3,type3_specific_reranker,9,llm_00102,identity,0.12005507146750864,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,10,llm_00171,identity,0.1021617874610046,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,11,llm_00001,event,0.09022314204697032,False,Caroline attended an LGBTQ support group yesterday and found it powerful.
13,q00051,3,type3_specific_reranker,12,llm_00185,identity,0.08677692568462779,False,Caroline is a transgender woman.
13,q00051,3,type3_specific_reranker,13,llm_00058,goal,0.08349122331246575,False,Caroline is exploring counseling and mental health career options.
13,q00051,3,type3_specific_reranker,14,llm_00040,goal,0.08203252702785947,False,Caroline is considering counseling and mental health as a career path to help others.
13,q00051,3,type3_specific_reranker,15,llm_00089,identity,0.07567344062017885,False,Caroline is passionate about LGBTQ rights and community support.
13,q00051,3,type3_specific_reranker,16,llm_00015,preference,0.06144018613452782,False,Caroline chose an adoption agency because it helps LGBTQ+ folks with adoption.
13,q00051,3,type3_specific_reranker,17,llm_00029,identity,0.06082651691543657,False,Caroline is from Sweden.
13,q00051,3,type3_specific_reranker,18,llm_00037,emotion,0.05725144468406552,False,Caroline's own journey and support she received motivated her to pursue counseling.
13,q00051,3,type3_specific_reranker,19,llm_00054,relationship,0.05109505026716001,False,"Caroline's friends and family have been supportive of her transition, providing love, guidance, and acceptance."
13,q00051,3,type3_specific_reranker,20,llm_00120,hobby,0.04570415933839887,False,Caroline has always loved horses.
13,q00060,3,global_candidate_reranker,1,llm_00107,event,0.38132597016209496,True,"Caroline recently had a negative experience on a hike when she encountered religious conservatives who upset her, making her think about the work needed for LGBTQ rights."
13,q00060,3,global_candidate_reranker,2,llm_00052,identity,0.2632530438287693,False,Caroline is a transgender woman.
13,q00060,3,global_candidate_reranker,3,llm_00002,identity,0.2385216828554114,False,Caroline is transgender.
13,q00060,3,global_candidate_reranker,4,llm_00152,work,0.20773059196598442,False,Caroline volunteers for the LGBTQ+ community.
13,q00060,3,global_candidate_reranker,5,llm_00131,identity,0.1968278074057743,True,Caroline is a transgender woman.
13,q00060,3,global_candidate_reranker,6,llm_00155,identity,0.17856468844876972,False,Caroline is a transgender woman.
13,q00060,3,global_candidate_reranker,7,llm_00185,identity,0.17795470919779016,False,Caroline is a transgender woman.
13,q00060,3,global_candidate_reranker,8,llm_00171,identity,0.15644524874656363,False,Caroline is a transgender woman.
13,q00060,3,global_candidate_reranker,9,llm_00083,identity,0.13394361985178627,False,Caroline is a transgender woman.
13,q00060,3,global_candidate_reranker,10,llm_00089,identity,0.1255417021163902,False,Caroline is passionate about LGBTQ rights and community support.
13,q00060,3,global_candidate_reranker,11,llm_00102,identity,0.12025451596137682,False,Caroline is a transgender woman.
13,q00060,3,global_candidate_reranker,12,llm_00132,relationship,0.11588198785105504,False,Caroline found a supportive community in the transgender community.
13,q00060,3,global_candidate_reranker,13,llm_00029,identity,0.09347205379488124,False,Caroline is from Sweden.
13,q00060,3,global_candidate_reranker,14,llm_00040,goal,0.06148718703005441,False,Caroline is considering counseling and mental health as a career path to help others.
13,q00060,3,global_candidate_reranker,15,llm_00001,event,0.059385359988999055,False,Caroline attended an LGBTQ support group yesterday and found it powerful.
13,q00060,3,global_candidate_reranker,16,llm_00046,preference,0.05733680102502029,False,Caroline is passionate about helping people and making a positive impact.
13,q00060,3,global_candidate_reranker,17,llm_00120,hobby,0.05507110671510882,False,Caroline has always loved horses.
13,q00060,3,global_candidate_reranker,18,llm_00071,goal,0.053169339062566205,False,Caroline is determined to adopt a child.
13,q00060,3,global_candidate_reranker,19,llm_00056,event,0.051880410906291766,False,Caroline attended an LGBTQ conference two days ago and felt accepted and welcomed.
13,q00060,3,global_candidate_reranker,20,llm_00058,goal,0.05156608953241807,False,Caroline is exploring counseling and mental health career options.
13,q00060,3,type3_specific_reranker,1,llm_00052,identity,0.5607086350172812,False,Caroline is a transgender woman.
13,q00060,3,type3_specific_reranker,2,llm_00002,identity,0.39920288365401096,False,Caroline is transgender.
13,q00060,3,type3_specific_reranker,3,llm_00107,event,0.3781593965221352,True,"Caroline recently had a negative experience on a hike when she encountered religious conservatives who upset her, making her think about the work needed for LGBTQ rights."
13,q00060,3,type3_specific_reranker,4,llm_00185,identity,0.3466405153601643,False,Caroline is a transgender woman.
13,q00060,3,type3_specific_reranker,5,llm_00171,identity,0.32428391656345573,False,Caroline is a transgender woman.
13,q00060,3,type3_specific_reranker,6,llm_00155,identity,0.3123956289392318,False,Caroline is a transgender woman.
13,q00060,3,type3_specific_reranker,7,llm_00131,identity,0.3067715355362429,True,Caroline is a transgender woman.
13,q00060,3,type3_specific_reranker,8,llm_00102,identity,0.2541819784963663,False,Caroline is a transgender woman.
13,q00060,3,type3_specific_reranker,9,llm_00083,identity,0.2110538424307685,False,Caroline is a transgender woman.
13,q00060,3,type3_specific_reranker,10,llm_00001,event,0.19237810341039957,False,Caroline attended an LGBTQ support group yesterday and found it powerful.
13,q00060,3,type3_specific_reranker,11,llm_00132,relationship,0.18815858450711093,False,Caroline found a supportive community in the transgender community.
13,q00060,3,type3_specific_reranker,12,llm_00056,event,0.17559566383064215,False,Caroline attended an LGBTQ conference two days ago and felt accepted and welcomed.
13,q00060,3,type3_specific_reranker,13,llm_00120,hobby,0.09429885347370791,False,Caroline has always loved horses.
13,q00060,3,type3_specific_reranker,14,llm_00116,event,0.0858774533817412,False,Caroline attended an adoption advice/assistance group.
13,q00060,3,type3_specific_reranker,15,llm_00045,goal,0.08400779871440849,False,Caroline is exploring counseling or mental health work as a career.
13,q00060,3,type3_specific_reranker,16,llm_00071,goal,0.08061847025177742,False,Caroline is determined to adopt a child.
13,q00060,3,type3_specific_reranker,17,llm_00029,identity,0.08053462536895482,False,Caroline is from Sweden.
13,q00060,3,type3_specific_reranker,18,llm_00152,work,0.06575724854585781,False,Caroline volunteers for the LGBTQ+ community.
13,q00060,3,type3_specific_reranker,19,llm_00040,goal,0.05893308354049986,False,Caroline is considering counseling and mental health as a career path to help others.
13,q00060,3,type3_specific_reranker,20,llm_00034,goal,0.05459640207003093,False,Caroline is exploring a career in counseling and mental health.
13,q00502,3,global_candidate_reranker,1,llm_00719,health,0.6079293539795564,False,Joanna has allergies that prevent her from getting pets.
13,q00502,3,global_candidate_reranker,2,llm_00720,preference,0.5991710513669098,False,Joanna is too lazy to research alternative pets for her allergies.
13,q00502,3,global_candidate_reranker,3,llm_00639,plan,0.35950395491425813,False,Joanna is considering getting pets of her own if she can find ones she's not allergic to.
13,q00502,3,global_candidate_reranker,4,llm_00666,preference,0.3411436086312915,False,Joanna wishes she could have pets but cannot due to allergies.
13,q00502,3,global_candidate_reranker,5,llm_00665,health,0.20362997157752333,False,Joanna is allergic to cockroaches and has pet allergies.
13,q00502,3,global_candidate_reranker,6,llm_00733,emotion,0.19817118145984838,False,Joanna received a stuffed animal from Nate and cherishes it.
13,q00502,3,global_candidate_reranker,7,llm_00840,health,0.17907355860225999,False,"Joanna is allergic to animals, which prevents her from holding and squeezing real animals."
